MovieId,Box_office,Director,Country,imdbID,Poster,Metascore,Language,Writer,imdbVotes,Runtime,Response,Title,Genre,Type,Actors,Awards,imdbRating,Rated,Released,image_file,Musical,Family,Reality-TV,Western,Comedy,Mystery,Music,Fantasy,News,Adventure,Documentary,Crime,Horror,Romance,Sci-Fi,Sport,Animation,Biography,War,History,Action,Short,Thriller,Drama,2000,1990,2010,1980,NOT RATED,G,Not Rated,PASSED,UNRATED,TV-G,AO,N/A,TV-14,R,TV-MA,PG,X,PG-13,NC-17,M/PG,TV-PG
1,"49,935,319",Peter Jackson,"USA, New Zealand",tt0167261,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",88,"English, Sindarin, Old English","J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Stephen Sinclair (screenplay), Peter Jackson (screenplay)","1,061,460",179 min,TRUE,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",movie,"Bruce Allpress, Sean Astin, John Bach, Sala Baker",Won 2 Oscars. Another 114 wins & 126 nominations.,8.7,PG-13,18-Dec-02,data/Movie_Poster_Dataset/2002/tt0167261.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,"310,675,583",George Lucas,USA,tt0121765,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",54,English,"George Lucas (screenplay), Jonathan Hales (screenplay), George Lucas (story)","449,355",142 min,TRUE,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy",movie,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee",Nominated for 1 Oscar. Another 13 wins & 53 nominations.,6.7,PG,16-May-02,data/Movie_Poster_Dataset/2002/tt0121765.jpg,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,"261,970,615",Chris Columbus,"UK, USA, Germany",tt0295297,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",63,English,"J.K. Rowling (novel), Steve Kloves (screenplay)","373,701",161 min,TRUE,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy",movie,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Griffiths",Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,7.4,PG,15-Nov-02,data/Movie_Poster_Dataset/2002/tt0295297.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,"1,680,732",Joel Zwick,"USA, Canada",tt0259446,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",62,"English, Greek",Nia Vardalos,"95,556",95 min,TRUE,My Big Fat Greek Wedding,"Comedy, Romance",movie,"Nia Vardalos, Michael Constantine, Christina Eleusiniotis, Kaylee Vieira",Nominated for 1 Oscar. Another 20 wins & 27 nominations.,6.6,PG,2-Aug-02,data/Movie_Poster_Dataset/2002/tt0259446.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,"227,965,690",M. Night Shyamalan,USA,tt0286106,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",59,"English, Portuguese",M. Night Shyamalan,"266,105",106 min,TRUE,Signs,"Drama, Sci-Fi, Thriller",movie,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin",3 wins & 30 nominations.,6.7,PG-13,2-Aug-02,data/Movie_Poster_Dataset/2002/tt0286106.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,"461,193",Jay Roach,USA,tt0295178,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",62,"English, Japanese, German, French","Mike Myers, Michael McCullers, Mike Myers (characters created by)","158,815",94 min,TRUE,Austin Powers in Goldmember,"Action, Comedy, Crime",movie,"Mike Myers, Beyoncé Knowles, Seth Green, Michael York",5 wins & 21 nominations.,6.2,PG-13,26-Jul-02,data/Movie_Poster_Dataset/2002/tt0295178.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,null,Barry Sonnenfeld,USA,tt0120912,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",49,English,Lowell Cunningham (comic book \\,"260,988",88 min,TRUE,Men in Black II,"Action, Adventure, Comedy",movie,"Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle",3 wins & 10 nominations.,6.1,PG-13,3-Jul-02,data/Movie_Poster_Dataset/2002/tt0120912.jpg,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,"4,158,805","Chris Wedge, Carlos Saldanha",USA,tt0268380,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",60,"English, Croatian","Michael J. Wilson (story), Michael Berg (screenplay), Michael J. Wilson (screenplay), Peter Ackerman (screenplay), James Bresnahan (additional story), Doug Compton (additional story), Mike Thurmeier (additional story), Jeff Siergey (additional story), Galen T. Chu (additional story), Xeth Feinberg (additional story)","314,165",81 min,TRUE,Ice Age,"Animation, Adventure, Comedy",movie,"Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic",Nominated for 1 Oscar. Another 5 wins & 28 nominations.,7.6,PG,15-Mar-02,data/Movie_Poster_Dataset/2002/tt0268380.jpg,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,"170,684,505",Rob Marshall,"USA, Germany, Canada",tt0299658,"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",82,"English, Hungarian","Bill Condon (screenplay), Bob Fosse (book), Fred Ebb (book), Maurine Dallas Watkins (play)","168,004",113 min,TRUE,Chicago,"Comedy, Crime, Musical",movie,"Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger",Won 6 Oscars. Another 49 wins & 116 nominations.,7.2,PG-13,24-Jan-03,data/Movie_Poster_Dataset/2002/tt0299658.jpg,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,"9,493,232",Steven Spielberg,"USA, Canada",tt0264464,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",76,"English, French","Jeff Nathanson (screenplay), Frank Abagnale Jr. (book), Stan Redding (book)","488,689",141 min,TRUE,Catch Me If You Can,"Biography, Crime, Drama",movie,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen",Nominated for 2 Oscars. Another 11 wins & 34 nominations.,8,PG-13,25-Dec-02,data/Movie_Poster_Dataset/2002/tt0264464.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,"7,463,693",Lee Tamahori,"UK, USA",tt0246460,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg",56,"English, Korean, Cantonese, Spanish, German, Icelandic, Italian","Ian Fleming (characters), Neal Purvis, Robert Wade","166,075",133 min,TRUE,Die Another Day,"Action, Adventure, Thriller",movie,"Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike",Nominated for 1 Golden Globe. Another 5 wins & 31 nominations.,6.1,PG-13,22-Nov-02,data/Movie_Poster_Dataset/2002/tt0246460.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
